trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.995}",25,0,-64.47016221617456,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.99}",20,0,-27.426303592774076,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.985}",25,8,-187.42614788195817,"{0: 8, 1: 0, 2: 4, 3: 2, 4: 3}",1
4,False,"{'a': 0.01, 'e': 0.98}",20,0,-117.69046158609008,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.975}",20,0,-167.23895190423733,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.97}",20,0,-76.67924779781698,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.965}",25,0,-150.27454946923353,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.01, 'e': 0.96}",25,0,-131.93804691457927,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.955}",20,0,-73.78546234171628,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.95}",25,0,-130.67506031509402,"{0: 11, 1: 2, 2: 11, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.945}",25,0,-164.4712303662774,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
12,False,"{'a': 0.01, 'e': 0.94}",25,0,-112.17177429352935,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9349999999999999}",20,0,-194.62356469711867,"{0: 7, 1: 6, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9299999999999999}",20,0,-37.40570628943679,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9249999999999999}",25,0,-176.66805116018514,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9199999999999999}",25,0,-104.37130171560287,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9149999999999999}",25,0,-175.27889972519534,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9099999999999999}",20,0,-143.32691858934737,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9049999999999999}",30,0,-206.6290228467446,"{0: 14, 1: 5, 2: 8, 3: 0, 4: 3}",0
20,False,"{'a': 0.01, 'e': 0.8999999999999999}",20,0,-54.77240920528799,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.8949999999999999}",35,0,-91.78199122972292,"{0: 25, 1: 2, 2: 5, 3: 3, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.8899999999999999}",20,0,-55.67809792234665,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.8849999999999999}",20,0,-83.60432392141165,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
