trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.78834958455138,"{0: 8, 1: 1, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.32446378155348,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.93442554630904,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,8,-122.62707578869714,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-86.6175004444093,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.78750394107598,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.18443837928044,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.43513556521035,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.72041114808569,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.97578619556467,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.71898805765461,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.99123876703862,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.52422461458286,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,10,-1.0288848356686346,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.78913033907295,"{0: 15, 1: 6, 2: 0, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.78218366315879,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-120.22727537914767,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.57467722342855,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.83760309726877,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.09102209460176,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,4,-20.135224890249702,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.26381981891328,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.23405500968526,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-184.8997913283448,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-193.90382558298396,"{0: 9, 1: 5, 2: 2, 3: 0, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-241.8014934217795,"{0: 12, 1: 4, 2: 6, 3: 7, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.2658927893947,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.10068914449293,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.61681812256023,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.95365085467591,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
